filename,filters_per_layer,number_of_layers,total_filters,kernel_size,input_size,cpu_utilization_avg,memory_utilization_avg,cpu_power_avg,tpu_power_avg,inference_time,usb_type,tpu_mode,block_type,total_power_avg,total_energy_joules,joules_per_input,inference_time_per_input
cnn_fullconv_10_3_repeat5_shape1024x1024.csv,10,5,50,3,1048576,46.85095242827381,1921.9706690476196,1.3412738107068454,0.1319880940550599,425.0,usb2,std,fullconv,5.223261904761905,2219.88630952381,2.21988630952381,0.425
cnn_fullconv_10_3_repeat5_shape1024x160.csv,10,5,50,3,163840,45.33626735208333,1901.040783333333,1.3034066838020832,0.1406766495312501,65.0,usb2,std,fullconv,5.194083333333333,337.61541666666665,0.3376154166666666,0.065
cnn_fullconv_10_3_repeat5_shape1024x240.csv,10,5,50,3,245760,47.38016039342105,1909.839410526316,1.3545040098355263,0.0984959901644737,100.0,usb2,std,fullconv,5.203,520.3000000000001,0.5203000000000001,0.1
cnn_fullconv_10_3_repeat5_shape1024x320.csv,10,5,50,3,327680,47.199720427,1909.36052,1.3499930106749998,0.1643269893250005,130.0,usb2,std,fullconv,5.2643200000000006,684.3616000000001,0.6843616,0.13
cnn_fullconv_10_3_repeat5_shape1024x480.csv,10,5,50,3,491520,46.7638399381579,1915.110305263158,1.3390959984539474,0.1669040015460527,195.0,usb2,std,fullconv,5.256,1024.92,1.02492,0.195
cnn_fullconv_10_3_repeat5_shape1024x640.csv,10,5,50,3,655360,46.62074160817308,1917.271496153846,1.3355185402043268,0.1241545367187493,265.0,usb2,std,fullconv,5.209673076923076,1380.5633653846153,1.3805633653846152,0.265
cnn_fullconv_10_3_repeat5_shape1024x800.csv,10,5,50,3,819200,46.30801230932836,1920.1216119402984,1.327700307733209,0.0687325280876853,340.0,usb2,std,fullconv,5.146432835820894,1749.787164179104,1.7497871641791038,0.34
cnn_fullconv_10_3_repeat5_shape1280x1024.csv,10,5,50,3,1310720,47.3284611245238,1924.5232952380957,1.353211528113095,0.0881122814107135,530.0,usb2,std,fullconv,5.191323809523809,2751.4016190476186,2.7514016190476185,0.53
cnn_fullconv_10_3_repeat5_shape1280x1280.csv,10,5,50,3,1638400,47.38649012161655,1929.8297368421047,1.3546622530404135,0.143488122899436,670.0,usb2,std,fullconv,5.24815037593985,3516.2607518796995,3.5162607518796998,0.67
cnn_fullconv_10_3_repeat5_shape1280x160.csv,10,5,50,3,204800,47.36967042166667,1906.87108,1.3542417605416668,0.1192915727916661,80.0,usb2,std,fullconv,5.223533333333333,417.8826666666666,0.4178826666666666,0.08
cnn_fullconv_10_3_repeat5_shape1280x240.csv,10,5,50,3,307200,46.8369895173913,1912.0381304347827,1.3409247379347826,0.1168578707608691,120.0,usb2,std,fullconv,5.207782608695652,624.9339130434782,0.6249339130434782,0.12
cnn_fullconv_10_3_repeat5_shape1280x320.csv,10,5,50,3,409600,47.6187032,1914.1800000000003,1.36046758,0.1509840329032261,160.0,usb2,std,fullconv,5.261451612903226,841.8322580645162,0.8418322580645161,0.16
cnn_fullconv_10_3_repeat5_shape1280x480.csv,10,5,50,3,614400,47.005177535,1927.491808,1.345129438375,0.0992905616249997,255.0,usb2,std,fullconv,5.19442,1324.5771,1.3245771,0.255
cnn_fullconv_10_3_repeat5_shape1280x640.csv,10,5,50,3,819200,46.44002224552238,1917.919617910448,1.3310005561380591,0.1405666080410466,340.0,usb2,std,fullconv,5.221567164179106,1775.332835820896,1.775332835820896,0.34
cnn_fullconv_10_3_repeat5_shape1280x800.csv,10,5,50,3,1024000,46.5648019189759,1920.6767855421683,1.3341200479743975,0.1199401929894579,420.0,usb2,std,fullconv,5.204060240963855,2185.705301204819,2.185705301204819,0.42
cnn_fullconv_10_3_repeat5_shape1440x1024.csv,10,5,50,3,1474560,47.50602458781513,1926.033880672269,1.3576506146953784,0.1545426626155448,600.0,usb2,std,fullconv,5.262193277310924,3157.315966386554,3.157315966386554,0.6
cnn_fullconv_10_3_repeat5_shape1440x1280.csv,10,5,50,3,1843200,47.45576830445205,1931.6574520547947,1.3563942076113011,0.1639277101969183,735.0,usb2,std,fullconv,5.27032191780822,3873.6866095890414,3.873686609589041,0.735
cnn_fullconv_10_3_repeat5_shape1440x1440.csv,10,5,50,3,2073600,47.44904237439759,1932.2542746987951,1.3562260593599396,0.1599847840135542,835.0,usb2,std,fullconv,5.266210843373494,4397.286054216867,4.397286054216868,0.835
cnn_fullconv_10_3_repeat5_shape1440x160.csv,10,5,50,3,230400,46.66090022352941,1907.0932588235291,1.3365225055882353,0.1121245532352941,90.0,usb2,std,fullconv,5.198647058823529,467.8782352941176,0.4678782352941176,0.09
cnn_fullconv_10_3_repeat5_shape1440x240.csv,10,5,50,3,345600,47.981485276923074,1913.6013461538464,1.369537131923077,0.1774628680769217,135.0,usb2,std,fullconv,5.296999999999999,715.0949999999998,0.7150949999999998,0.135
cnn_fullconv_10_3_repeat5_shape1440x320.csv,10,5,50,3,460800,47.33000910694445,1910.211183333333,1.3532502276736114,0.1124719945486107,185.0,usb2,std,fullconv,5.215722222222222,964.9086111111112,0.9649086111111111,0.185
cnn_fullconv_10_3_repeat5_shape1440x480.csv,10,5,50,3,691200,47.50890386805557,1915.7646777777777,1.3577225967013893,0.1452959218171301,275.0,usb2,std,fullconv,5.25301851851852,1444.5800925925928,1.444580092592593,0.275
cnn_fullconv_10_3_repeat5_shape1440x640.csv,10,5,50,3,921600,48.55895205371622,1921.161327027027,1.3839738013429057,0.0898505229814197,375.0,usb2,std,fullconv,5.223824324324325,1958.934121621622,1.9589341216216216,0.375
