,filename,filters_per_layer,number_of_layers,total_filters,kernel_size,input_size,cpu_utilization_avg,memory_utilization_avg,cpu_power_avg,tpu_power_avg,inference_time,usb_type,tpu_mode,block_type,total_power_avg,total_energy_joules,joules_per_input,inference_time_per_input,processed_inputs,round
23,cnn_fullconv_32_1_repeat3_shape96x96.csv,32,3,96,1,9216,44.83615990625,2031.309,1.29090399765625,0.0165960023437494,46,usb2,max,fullconv,4.9575,228.045,0.0228045,0.0046445152,10000,output-round6
24,cnn_fullconv_32_1_repeat4_shape96x96.csv,32,4,128,1,9216,43.590302178125,2031.47375,1.259757554453125,0.0454924455468748,48,usb2,max,fullconv,4.95525,237.852,0.0237851999999999,0.004761942,10000,output-round6
25,cnn_fullconv_32_1_repeat5_shape96x96.csv,32,5,160,1,9216,42.8261771375,2027.15005,1.2406544284375,0.2948455715625004,47,usb2,max,fullconv,5.1855,243.7185,0.02437185,0.0047122547,10000,output-round6
26,cnn_fullconv_32_1_repeat6_shape96x96.csv,32,6,192,1,9216,42.351082140625,2026.991325,1.228777053515625,0.2473479464843753,48,usb2,max,fullconv,5.126125,246.054,0.0246054,0.0047891804,10000,output-round6
27,cnn_fullconv_32_1_repeat7_shape96x96.csv,32,7,224,1,9216,41.08544260000001,2022.004025,1.1971360650000002,0.3147389349999989,47,usb2,max,fullconv,5.161874999999999,242.608125,0.0242608124999999,0.0047420319,10000,output-round6
28,cnn_fullconv_32_1_repeat8_shape96x96.csv,32,8,256,1,9216,43.314355940625,2035.610525,1.252858898515625,0.1615161014843749,49,usb2,max,fullconv,5.064375,248.154375,0.0248154375,0.0048656139,10000,output-round6
29,cnn_fullconv_32_1_repeat9_shape96x96.csv,32,9,288,1,9216,41.791702271875,2026.250475,1.214792556796875,0.1924574432031249,49,usb2,max,fullconv,5.05725,247.80525,0.024780525,0.0049157839,10000,output-round6
30,cnn_fullconv_4_1_repeat10_shape96x96.csv,4,10,40,1,9216,41.847791328125,2021.603325,1.216194783203125,0.2694302167968749,46,usb2,max,fullconv,5.135625,236.23875,0.023623875,0.0046684836,10000,output-round6
31,cnn_fullconv_4_1_repeat1_shape96x96.csv,4,1,4,1,9216,45.06605749375,2030.939625,1.29665143734375,0.1272235626562499,46,usb2,max,fullconv,5.073875,233.39825,0.023339825,0.0045903249,10000,output-round6
32,cnn_fullconv_4_1_repeat2_shape96x96.csv,4,2,8,1,9216,43.45619275,2022.78675,1.25640481875,-0.0366548187500002,46,usb2,max,fullconv,4.86975,224.0085,0.02240085,0.0045478761,10000,output-round6
